PROPOSAL_LONGTEXT,Research_Issue_Code
ADOPTION OF THE FINANCIAL STATEMENTS AND THE CONSOLIDATED FINANCIAL           STATEMENTS,5030
DISCHARGE OF THE MEMBERS OF THE BOARD OF DIRECTORS AND THE PRESIDENT AND CEO  FROM LIABILITY,5700
APPROVE ABSORPTION OF BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE  TITULOS E VALORES MOBILIARIOS,6201
"PRESENTATION AND, WHERE APPROPRIATE, APPROVAL OF A PROPOSAL TO MODIFY THE     TEXT OF VARIOUS ARTICLES OF THE CORPORATE BYLAWS TO ADJUST THEM TO THE        REFORMS OF VARIOUS LEGAL PROVISIONS, AND TO THIS END TAKE THE APPROPRIATE     RESOLUTIONS",6184
APPROVAL OF FINANCIAL STATEMENT,5031
ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER: SONG BAEK HUN,5100
APPROVE BOARD REPORT ON COMPANY OPERATIONS AND FINANCIAL POSITION FOR FY 2023,5032
APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,6185
TO DISAPPLY PRE-EMPTION RIGHTS,5803
ALLOCATION OF THE RESULTS RELATING TO THE FINANCIAL YEAR,5000
APPROVE TRANSFER OF 10 PERCENT OF NET INCOME TO STATUTORY RESERVE,5000
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR  ENDED 31/12/2023,5030
APPROVE CREATION OF SEK 1 MILLION POOL OF CAPITAL WITH PREEMPTIVE RIGHTS,5801
APPROVE SPECIAL REPORT IN FINANCIAL AND NON-FINANCIAL PENALTIES,5759
APPROVE DISCHARGE OF DIRECTORS FOR THE FISCAL YEAR ENDED 31/12/2023,5700
Re-election of José Miguel Andrés Torrecillas.,5100
AMEND ARTICLE 5 RE: CORPORATE PURPOSE,6185
AMEND ARTICLE 7,6180
ELECT MILTON MATSUMOTO AS DIRECTOR,5100
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
APPROVAL OF FINANCIAL STATEMENT,5031
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED   31/12/2023,5030
RATIFY RELATED PARTY TRANSACTIONS FOR THE FISCAL YEAR ENDED 31/12/2023 AND    AUTHORIZE BOARD TO CONDUCT RELATED PARTY TRANSACTIONS UNTIL THE NEXT GENERAL  ASSEMBLY MEETING DATE FOR THE FISCAL YEAR ENDING 31/12/2024,5740
APPROVE TRANSFER OF 10 PERCENT OF NET INCOME TO STATUTORY AND 10 PERCENT OF   NET INCOME TO OPTIONAL RESERVE,5000
RESOLUTION ON THE MEASURES WARRANTED BY THE PROFIT SHOWN ON THE ADOPTED       BALANCE SHEET AND THE DISTRIBUTION OF DIVIDEND: THE BOARD OF DIRECTORS        PROPOSES THAT NO DIVIDEND BE PAID BASED ON THE BALANCE SHEET TO BE ADOPTED    FOR THE FINANCIAL YEAR 2023,5000
AMEND ARTICLE 9 RE: REMOVE LETTER M,6180
AMEND ARTICLE 14,6180
ELECT LUIZ CARLOS TRABUCO CAPPI AS DIRECTOR,5100
"PRESENTATION AND, WHERE APPLICABLE, APPROVAL OF A PROPOSAL TO CARRY OUT THE   CANCELLATION OF 45,000 TREASURY SHARES FROM THE ISSUE DATED JANUARY 25TH,     2013 TO SUPPORT THE CONVERSIONS OF CONVERTIBLE OBLIGATIONS, WHOSE HOLDERS DID NOT EXERCISE THE CORPORATE RIGHT OF CONVERSION, AND TO THAT END TAKE THE      RESOLUTIONS OF THE CASE",5820
ELECTION OF INSIDE DIRECTOR: HEO IN CHEOL,5100
APPROVAL OF FINANCIAL STATEMENT,5031
ELECTION OF INSIDE DIRECTOR KIM YOUNG DAL,5100
RATIFY KPMG AS AUDITOR,5200
