ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,VP_Issue_Code,Research_Issue_Code,Proposal_Name
YIT Oyj,2024-03-14 11:00:00,A,"FI        ",11,0,7,P,Accounts and Reports,ADOPTION OF THE FINANCIAL STATEMENTS AND THE CONSOLIDATED FINANCIAL           STATEMENTS,431550,4228363,2024-02-23 02:34:00,5030,5030,Accounts and Reports
YIT Oyj,2024-03-14 11:00:00,A,"FI        ",13,0,9,P,Ratification of Board and CEO Acts,DISCHARGE OF THE MEMBERS OF THE BOARD OF DIRECTORS AND THE PRESIDENT AND CEO  FROM LIABILITY,431550,4228365,2024-02-23 02:34:00,5700,5700,Ratification of Board and CEO Acts
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",3,0,S.3,P,Merger by Absorption (BRAM),APPROVE ABSORPTION OF BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE  TITULOS E VALORES MOBILIARIOS,420063,4224698,2024-02-23 02:34:00,6201,6201,Merger by Absorption (BRAM)
Axtel S.A.B. DE C.V.,2024-03-08 10:00:00,S,"MX        ",2,0,2,P,Amendments to Articles,"PRESENTATION AND, WHERE APPROPRIATE, APPROVAL OF A PROPOSAL TO MODIFY THE     TEXT OF VARIOUS ARTICLES OF THE CORPORATE BYLAWS TO ADJUST THEM TO THE        REFORMS OF VARIOUS LEGAL PROVISIONS, AND TO THIS END TAKE THE APPROPRIATE     RESOLUTIONS",420441,4231466,2024-02-23 02:34:00,6184,6184,Amendments to Articles
Shinsegae Co,2024-03-21 09:00:00,A,"KR        ",1,0,1,P,Financial Statements and Allocation of Profits/Dividends,APPROVAL OF FINANCIAL STATEMENT,425264,4229792,2024-02-23 02:34:00,5031,5031,Financial Statements and Allocation of Profits/Dividends
Hanjin Kal Corp,2024-03-21 09:00:00,A,"KR        ",6,0,4,P,Election of Independent Director to Be Appointed as Audit Committee Member: SONG Baek Hoon,ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER: SONG BAEK HUN,425217,4229669,2024-02-23 02:34:00,5100,5100,Election of Independent Director to Be Appointed as Audit Committee Member: SONG Baek Hoon
Air Arabia,2024-03-15 11:00:00,A,"AE        ",1,0,1,P,Directors' Report,APPROVE BOARD REPORT ON COMPANY OPERATIONS AND FINANCIAL POSITION FOR FY 2023,435319,4230553,2024-02-23 02:34:00,5032,5032,Directors' Report
Hanwha Ocean,2024-03-21 10:00:00,A,"KR        ",2,0,2,P,Amendments to Articles,APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,425215,4229787,2024-02-23 02:34:00,6185,6185,Amendments to Articles
Polar Capital Global Financials Trust Plc,2024-04-18 14:00:00,A,"GB        ",11,0,11,P,Authority to Issue Shares w/o Preemptive Rights,TO DISAPPLY PRE-EMPTION RIGHTS,439825,4229660,2024-02-23 02:34:00,5803,5803,Authority to Issue Shares w/o Preemptive Rights
Universe The CMI Global Network Fund SICAV - Japan,2024-02-29 14:30:00,A,"LU        ",4,0,3,P,Allocation of Profits/Dividends,ALLOCATION OF THE RESULTS RELATING TO THE FINANCIAL YEAR,441011,4231607,2024-02-23 02:34:00,5000,5000,Allocation of Profits/Dividends
