ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,ISSUE_CODE
An Giang Fisheries Import & Export JSC,6/21/2024 10:00,A,VN        ,3,0,1,P,"APPROVAL OF REPORTS IN THE 2023 FISCAL YEAR: ACTIVITY REPORT OF THE BOARD OF  DIRECTORS, AUDITED FINANCIAL STATEMENTS; REPORT ON ACTIVITIES OF THE BOARD OF DIRECTORS; REPORT OF THE SUPERVISORY BOARD","APPROVAL OF REPORTS IN THE 2023 FISCAL YEAR: ACTIVITY REPORT OF THE BOARD OF  DIRECTORS, AUDITED FINANCIAL STATEMENTS; REPORT ON ACTIVITIES OF THE BOARD OF DIRECTORS; REPORT OF THE SUPERVISORY BOARD",NULL,NULL,3/23/2024 10:04,NULL
An Giang Fisheries Import & Export JSC,6/21/2024 10:00,A,VN        ,4,0,2,P,"APPROVAL OF PLANNING, PRODUCTION AND BUSINESS TARGETS FOR THE 2024 FISCAL     YEAR","APPROVAL OF PLANNING, PRODUCTION AND BUSINESS TARGETS FOR THE 2024 FISCAL     YEAR",NULL,NULL,3/23/2024 10:04,NULL
An Giang Fisheries Import & Export JSC,6/21/2024 10:00,A,VN        ,5,0,3,P,APPROVAL OF THE GENERAL MEETING OF SHAREHOLDERS AUTHORIZING THE BOARD OF      DIRECTORS TO CONSIDER SELECTING AN INDEPENDENT AUDITING UNIT TO AUDIT THE     COMPANY S FINANCIAL STATEMENTS FROM THE LIST OF AUDITING COMPANIES IN THE     2024 FISCAL YEAR,APPROVAL OF THE GENERAL MEETING OF SHAREHOLDERS AUTHORIZING THE BOARD OF      DIRECTORS TO CONSIDER SELECTING AN INDEPENDENT AUDITING UNIT TO AUDIT THE     COMPANY S FINANCIAL STATEMENTS FROM THE LIST OF AUDITING COMPANIES IN THE     2024 FISCAL YEAR,NULL,NULL,3/23/2024 10:04,NULL
An Giang Fisheries Import & Export JSC,6/21/2024 10:00,A,VN        ,6,0,4,P,OTHER CONTENTS UNDER THE AUTHORITY OF THE GENERAL MEETING OF SHAREHOLDERS,OTHER CONTENTS UNDER THE AUTHORITY OF THE GENERAL MEETING OF SHAREHOLDERS,NULL,NULL,3/23/2024 10:04,NULL
Airesis,6/17/2024 10:00,A,CH        ,2,0,REG,P,"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING","I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",NULL,NULL,3/22/2024 11:26,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,0,1,D,DIRECTOR,DIRECTOR,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,1,1,D,Director 1,Director 1,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,2,1,D,Director 2,Director 2,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,3,1,D,Director 3,Director 3,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,4,1,D,Director 4,Director 4,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,5,1,D,Director 5,Director 5,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,6,1,D,Director 6,Director 6,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,7,1,D,Director 7,Director 7,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,8,1,D,Director 8,Director 8,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,9,1,D,Director 9,Director 9,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,10,1,D,Director 10,Director 10,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,11,1,D,Director 11,Director 11,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,12,1,D,Director 12,Director 12,NULL,NULL,3/13/2024 4:12,NULL
